Date,Name,Open,High,Low,Close,Adj_Close,30-day_arithmetic_returns,Volatility
2022-08-26,AAPL,170.5700073,171.0500031,163.5599976,163.6199951,162.8747101,0.00305957,0.002196091
2022-08-29,AAPL,161.1499939,162.8999939,159.8200073,161.3800049,160.6449127,0.003291338,0.001944755
2022-08-30,AAPL,162.1300049,162.5599976,157.7200012,158.9100037,158.1861725,0.001890423,0.00192001
2022-08-31,AAPL,160.3099976,160.5800018,157.1399994,157.2200012,156.5038757,0.001085594,0.001965343
2022-09-01,AAPL,156.6399994,158.4199982,154.6699982,157.9600067,157.2404938,0.000739343,0.002029495
2022-09-02,AAPL,159.75,160.3600006,154.9700012,155.8099976,155.1002808,0.000556004,0.002098781
2022-09-06,AAPL,156.4700012,157.0899963,153.6900024,154.5299988,153.8261108,0.000528776,0.002211941
2022-09-07,AAPL,154.8200073,156.6699982,153.6100006,155.9600067,155.2496033,0.001131445,0.002308995
2022-09-08,AAPL,154.6399994,156.3600006,152.6799927,154.4600067,153.7564545,-0.0003303,0.002492188
2022-09-09,AAPL,155.4700012,157.8200073,154.75,157.3699951,156.6531677,0.00017863,0.002616831
2022-09-12,AAPL,159.5899963,164.2599945,159.3000031,163.4299927,162.6855774,0.000369132,0.002703278
2022-09-13,AAPL,159.8999939,160.5399933,153.3699951,153.8399963,153.1392517,-0.001381742,0.002834663
2022-09-14,AAPL,154.7899933,157.1000061,153.6100006,155.3099976,154.6025696,-0.000753643,0.002920866
2022-09-15,AAPL,154.6499939,155.2400055,151.3800049,152.3699951,151.6759491,-0.002659567,0.003089853
2022-09-16,AAPL,151.2100067,151.3500061,148.3699951,150.6999969,150.0135498,-0.0029607,0.0032345
2022-09-19,AAPL,149.3099976,154.5599976,149.1000061,154.4799957,153.7763519,-0.002078294,0.003319519
2022-09-20,AAPL,153.3999939,158.0800018,153.0800018,156.8999939,156.185318,-0.00145935,0.003380194
2022-09-21,AAPL,157.3399963,158.7400055,153.6000061,153.7200012,153.0198059,-0.002145049,0.003453502
2022-09-22,AAPL,152.3800049,154.4700012,150.9100037,152.7400055,152.0442657,-0.003230711,0.003483779
2022-09-23,AAPL,151.1900024,151.4700012,148.5599976,150.4299927,149.7447968,-0.003587112,0.003525807
2022-09-26,AAPL,149.6600037,153.7700043,149.6399994,150.7700043,150.083252,-0.00422596,0.003491694
2022-09-27,AAPL,152.7400055,154.7200012,149.9499969,151.7599945,151.0687256,-0.004218203,0.003430264
2022-09-28,AAPL,147.6399994,150.6399994,144.8399963,149.8399963,149.157486,-0.004609123,0.003385472
2022-09-29,AAPL,146.1000061,146.7200012,140.6799927,142.4799957,141.8309937,-0.006539249,0.003409764
2022-09-30,AAPL,141.2799988,143.1000061,138.0,138.1999969,137.5704956,-0.007464168,0.003494633
2022-10-03,AAPL,138.2100067,143.0700073,137.6900024,142.4499969,141.8011475,-0.005935685,0.003470931
2022-10-04,AAPL,145.0299988,146.2200012,144.2599945,146.1000061,145.4345245,-0.004313941,0.003354838
2022-10-05,AAPL,144.0700073,147.3800049,143.0099945,146.3999939,145.733139,-0.004177865,0.003218834
2022-10-06,AAPL,145.8099976,147.5399933,145.2200012,145.4299927,144.7675629,-0.004458517,0.00304501
2022-10-07,AAPL,142.5399933,143.1000061,139.4499969,140.0899963,139.451889,-0.006179894,0.002909749
2022-10-10,AAPL,140.4199982,141.8899994,138.5700073,140.4199982,139.7803955,-0.00484473,0.002791656
2022-10-11,AAPL,139.8999939,141.3500061,138.2200012,138.9799957,138.3469543,-0.00473022,0.002620581
2022-10-12,AAPL,139.1300049,140.3600006,138.1600037,138.3399963,137.7098541,-0.004373542,0.00250342
2022-10-13,AAPL,134.9900055,143.5899963,134.3699951,142.9900055,142.3386841,-0.002898614,0.002397139
2022-10-14,AAPL,144.3099976,144.5200043,138.1900024,138.3800049,137.7496796,-0.004130172,0.002307615
2022-10-17,AAPL,141.0700073,142.8999939,140.2700043,142.4100037,141.7613373,-0.002705709,0.002207462
2022-10-18,AAPL,145.4900055,146.6999969,140.6100006,143.75,143.0952301,-0.002118224,0.002106371
2022-10-19,AAPL,141.6900024,144.9499969,141.5,143.8600006,143.2047272,-0.002401181,0.001946988
2022-10-20,AAPL,143.0200043,145.8899994,142.6499939,143.3899994,142.7368622,-0.002189493,0.001876001
2022-10-21,AAPL,142.8699951,147.8500061,142.6499939,147.2700043,146.5991974,-0.001915509,0.001774162
2022-10-24,AAPL,147.1900024,150.2299957,146.0,149.4499969,148.7692566,-0.002705689,0.001627007
2022-10-25,AAPL,150.0899963,152.4900055,149.3600006,152.3399963,151.6461029,-0.000105114,0.001701469
2022-10-26,AAPL,150.9600067,151.9900055,148.0399933,149.3500061,148.6697235,-0.001077868,0.00168412
2022-10-27,AAPL,148.0700073,149.0500031,144.1300049,144.8000031,144.1404419,-0.001462383,0.001719705
2022-10-28,AAPL,148.1999969,157.5,147.8200073,155.7400055,155.0306091,0.001421373,0.001939818
2022-10-31,AAPL,153.1600037,154.2400055,151.9199982,153.3399963,152.6415253,7.16e-05,0.002026646
2022-11-01,AAPL,155.0800018,155.4499969,149.1300049,150.6499939,149.9637909,-0.001035343,0.002041282
2022-11-02,AAPL,148.9499969,152.1699982,145.0,145.0299988,144.3693848,-0.001603256,0.002053991
2022-11-03,AAPL,142.0599976,142.8000031,138.75,138.8800049,138.247406,-0.002804246,0.002055663
2022-11-04,AAPL,142.0899963,142.6699982,134.3800049,138.3800049,137.9781952,-0.002365034,0.00206073
2022-11-07,AAPL,137.1100006,139.1499939,135.6699982,138.9199982,138.5166168,-0.0023103,0.002057623
2022-11-08,AAPL,140.4100037,141.4299927,137.4900055,139.5,139.0949402,-0.002390002,0.002051633
2022-11-09,AAPL,138.5,138.5500031,134.5899963,134.8699951,134.4783783,-0.003074621,0.002031181
2022-11-10,AAPL,141.2400055,146.8699951,139.5,146.8699951,146.4435272,0.001528502,0.002083567
2022-11-11,AAPL,145.8200073,150.0099945,144.3699951,149.6999969,149.2653198,0.003172105,0.002158787
2022-11-14,AAPL,148.9700012,150.2799988,147.4299927,148.2799988,147.8494415,0.001830829,0.002186143
2022-11-15,AAPL,152.2200012,153.5899963,148.5599976,150.0399933,149.6043243,0.001372374,0.002237503
2022-11-16,AAPL,149.1300049,149.8699951,147.2899933,148.7899933,148.3579559,0.001026229,0.002260865
2022-11-17,AAPL,146.4299927,151.4799957,146.1499939,150.7200012,150.2823486,0.00167946,0.002287858
2022-11-18,AAPL,152.3099976,152.6999969,149.9700012,151.2899933,150.8506927,0.003029477,0.002266744
2022-11-21,AAPL,150.1600037,150.3699951,147.7200012,148.0099945,147.5802307,0.002228283,0.002249918
2022-11-22,AAPL,148.1300049,150.4199982,146.9299927,150.1799927,149.7439117,0.003058817,0.002258143
2022-11-23,AAPL,149.4499969,151.8300018,149.3399963,151.0700073,150.6313477,0.003409865,0.002277475
2022-11-25,AAPL,148.3099976,148.8800049,147.1199951,148.1100006,147.6799469,0.001636316,0.002264304
2022-11-28,AAPL,145.1399994,146.6399994,143.3800049,144.2200012,143.801239,0.001835508,0.00218266
2022-11-29,AAPL,144.2899933,144.8099976,140.3500061,141.1699982,140.7600861,0.000159804,0.002129718
2022-11-30,AAPL,141.3999939,148.7200012,140.5500031,148.0299988,147.600174,0.001465955,0.002111303
2022-12-01,AAPL,148.2100067,149.1300049,146.6100006,148.3099976,147.8793488,0.001503496,0.002075058
2022-12-02,AAPL,145.9600067,148.0,145.6499939,147.8099976,147.3808136,0.001500025,0.002038818
2022-12-05,AAPL,147.7700043,150.9199982,145.7700043,146.6300049,146.2042389,0.000331946,0.001995327
2022-12-06,AAPL,147.0700073,147.3000031,141.9199982,142.9100037,142.4950409,-0.001007142,0.001927776
2022-12-07,AAPL,142.1900024,143.3699951,140.0,140.9400024,140.5307617,-0.002111226,0.001981183
2022-12-08,AAPL,142.3600006,143.5200043,141.1000061,142.6499939,142.2357941,-0.001052561,0.001980552
2022-12-09,AAPL,142.3399963,145.5700073,140.8999939,142.1600037,141.7472076,-0.00015155,0.001953042
2022-12-12,AAPL,142.6999969,144.5,141.0599976,144.4900055,144.0704498,-0.002123631,0.001996616
2022-12-13,AAPL,149.5,149.9700012,144.2400055,145.4700012,145.0476074,-0.001383868,0.002019748
